node_from,node_to,Branch capacity (MW),Branch cost (€),Branch status LF-SCF,Branch status LF-STE,Branch status OL-SSTE
1,4,10,20036.4966,0,0,0
1,6,10,11746.24989,1,1,1
1,14,10,16775.15763,0,0,0
1,30,10,18089.45367,0,0,0
1,44,10,13575.09846,0,0,0
1,45,10,20685.13623,0,0,0
1,56,10,22195.55738,0,0,0
1,62,10,4928.514589,1,1,1
1,66,10,15078.26743,0,0,0
1,72,10,18235.85703,0,0,0
1,151,10,79706.4176,0,0,0
1,152,10,1051268.564,0,0,0
1,153,10,81532.62061,0,0,0
1,154,10,156812.5995,0,0,0
2,12,10,22890.24067,0,0,0
2,28,10,3399.059213,1,1,1
2,32,10,17129.1114,0,0,0
2,52,10,8937.570117,1,1,1
2,60,10,6677.312936,0,0,0
2,68,10,18299.46876,0,0,0
2,69,10,18842.21084,0,0,0
2,78,10,19563.66155,0,0,0
2,80,10,12131.33681,0,0,0
2,151,10,1119746.653,0,0,0
2,152,10,26539.4762,0,0,0
2,153,10,1099751.104,0,0,0
2,154,10,1201198.969,0,0,0
3,6,10,17368.29159,0,0,0
3,14,10,11259.31075,0,0,0
3,20,10,16293.11584,0,0,0
3,30,10,28683.41537,0,0,0
3,56,10,7511.539965,0,0,0
3,67,10,27273.89519,0,0,0
3,72,10,23674.0303,0,0,0
3,73,10,29976.87329,1,1,1
3,74,10,13372.29155,1,1,1
3,77,10,10756.46752,0,0,0
3,151,10,78122.27096,0,0,0
3,152,10,1033912.469,0,0,0
3,153,10,59746.03771,0,0,0
3,154,10,170213.5722,0,0,0
4,9,10,11906.53661,0,0,0
4,10,10,19513.13672,0,0,0
4,26,10,13474.11871,0,0,0
4,30,10,20831.28357,0,0,0
4,36,10,16825.5507,0,0,0
4,44,10,24320.86886,0,0,0
4,45,10,3157.743025,1,1,1
4,58,10,17778.80167,0,0,0
4,62,10,15664.16633,0,0,0
4,66,10,4958.229167,1,1,1
4,151,10,72729.71628,0,0,0
4,152,10,1069364.869,0,0,0
4,153,10,88738.08778,0,0,0
4,154,10,141696.9412,0,0,0
5,13,10,16316.94342,0,0,0
5,16,10,11769.94854,0,0,0
5,21,10,14636.46553,0,0,0
5,22,10,17011.88393,0,0,0
5,39,10,7017.936305,1,1,1
5,54,10,11087.65097,0,0,0
5,57,10,21047.87456,0,0,0
5,58,10,22509.54772,0,0,0
5,64,10,14733.33203,0,0,0
5,75,10,1229.712482,1,1,1
5,151,10,48166.0336,0,0,0
5,152,10,1081292.966,0,0,0
5,153,10,76041.59402,0,0,0
5,154,10,121551.6195,0,0,0
6,14,10,6108.980845,1,1,1
6,20,10,18657.92965,0,0,0
6,30,10,18026.88761,0,0,0
6,44,10,20760.02507,0,0,0
6,56,10,11649.37603,0,0,0
6,62,10,13860.5833,0,0,0
6,66,10,24800.33044,0,0,0
6,72,10,15384.51181,0,0,0
6,74,10,16176.00621,0,0,0
6,77,10,11601.05748,0,0,0
6,151,10,77335.3264,0,0,0
6,152,10,1042032.999,0,0,0
6,153,10,71155.1442,0,0,0
6,154,10,161338.3263,0,0,0
7,8,10,25798.41852,0,0,0
7,11,10,22060.79685,0,0,0
7,15,10,15915.94609,0,0,0
7,24,10,24018.31985,0,0,0
7,33,10,25663.13433,0,0,0
7,38,10,7505.757238,1,1,1
7,40,10,16406.29236,0,0,0
7,48,10,18993.39022,0,1,1
7,50,10,15614.07706,1,0,0
7,53,10,15086.11209,0,0,0
7,151,10,31161.41497,0,0,0
7,152,10,1087535.064,0,0,0
7,153,10,34133.03925,0,0,0
7,154,10,140042.5114,0,0,0
8,11,10,13129.78911,0,0,0
8,15,10,16009.78214,0,0,0
8,24,10,11097.41397,0,0,0
8,33,10,6246.897926,1,1,1
8,38,10,18292.66128,0,0,0
8,40,10,16649.7185,0,0,0
8,53,10,17941.971,0,0,0
8,120,10,6864.735275,1,1,1
8,144,10,8874.775306,0,0,0
8,151,10,50008.90576,0,0,0
8,152,10,1087263.732,0,0,0
8,153,10,12260.29413,0,0,0
8,154,10,161142.4151,0,0,0
9,10,10,17929.47943,0,0,0
