Node ID,x (km),y (km),load (MW),typology
1,-0.518987342,0.582278481,0.38,SS
2,-1.35443038,1.797468354,0.11,SS
3,-1.392405063,0.329113924,0.46,SS
4,0.050632911,0.329113924,0.36,SS
5,0.050632911,-0.481012658,0.36,SS
6,-0.860759494,0.481012658,0.34,SS
7,-1.164556962,-1.443037975,0.17,SS
8,-1.962025316,-1.594936709,0.44,SS
9,0.430379747,0.430379747,0.28,SS
10,0.164556962,0.936708861,0.23,SS
11,-1.696202532,-1.898734177,0.51,SS
12,-1.772151899,1.189873418,0.42,SS
13,0.582278481,-0.430379747,0.18,SS
14,-1.050632911,0.430379747,0.41,SS
15,-1.620253165,-1.240506329,0.15,SS
16,0.35443038,-0.683544304,0.53,SS
17,-1.962025316,1.088607595,0.63,SS
18,0.962025316,-0.784810127,0.4,SS
19,0.734177215,1.392405063,0.53,SS
20,-1.088607595,-0.075949367,0.11,SS
21,-0.17721519,-0.886075949,0.4,SS
22,-0.17721519,-0.987341772,0.2,SS
23,0.886075949,-1.493670886,0.38,SS
24,-1.810126582,-1.898734177,0.24,SS
25,-1.962025316,-0.835443038,0.17,SS
26,0.392405063,0.582278481,0.46,SS
27,0.696202532,-0.987341772,0.29,SS
28,-1.392405063,1.898734177,0.07,SS
29,0.012658228,1.797468354,0.21,SS
30,-0.556962025,0.025316456,0.34,SS
31,-0.101265823,1.848101266,0.38,SS
32,-1.886075949,1.797468354,0.22,SS
33,-1.924050633,-1.797468354,0.5,SS
34,-1.506329114,0.632911392,0.39,SS
35,-0.139240506,-1.594936709,0.4,SS
36,0.582278481,0.430379747,0.32,SS
37,0.810126582,1.088607595,0.81,SS
38,-1.35443038,-1.594936709,0.43,SS
39,0.164556962,-0.683544304,0.28,SS
40,-1.506329114,-1.848101266,0.59,SS
41,-1.392405063,0.734177215,0.69,SS
42,0.240506329,2,0.4,SS
43,0.506329114,1.848101266,0.97,SS
44,-0.405063291,0.987341772,0.32,SS
45,0.050632911,0.227848101,0.43,SS
46,-0.025316456,1.341772152,0.34,SS
47,-0.367088608,1.392405063,0.37,SS
48,-0.708860759,-1.797468354,0.56,SS
49,-1.582278481,0.481012658,0.42,SS
50,-1.126582278,-0.936708861,0.79,SS
51,0.734177215,0.329113924,0.44,SS
52,-1.582278481,1.64556962,0.07,SS
53,-1.582278481,-1.189873418,0.28,SS
54,-0.291139241,-0.379746835,0.62,SS
