node_from,node_to,Branch capacity (MW),Branch cost (€),Branch status LF-SCF,Branch status LF-STE,Branch status OL-SSTE
1,2,10,24996.01578,0,0,0
1,3,10,28044.62492,0,0,0
1,4,10,8015.093739,0,0,0
1,5,10,40402.12173,0,0,0
1,6,10,37602.86294,0,0,0
1,7,10,5035.985157,1,1,0
1,8,10,16399.6771,0,0,0
1,9,10,55749.1541,0,0,0
1,10,10,31207.69664,0,0,0
1,11,10,17546.76567,0,0,1
1,12,10,46115.74169,0,0,0
1,13,10,13788.09753,0,0,0
1,14,10,15213.09501,0,0,0
1,15,10,50187.03613,0,0,0
1,16,10,26788.61231,0,0,0
1,17,10,46914.28167,0,0,0
1,18,10,33591.12713,0,0,0
1,19,10,64746.51277,0,0,0
1,20,10,8535.293388,0,0,0
1,21,10,31709.58984,0,0,0
1,22,10,51776.34225,0,0,0
1,23,10,56906.53612,0,0,0
1,24,10,17673.47932,0,0,0
1,25,10,35433.6844,0,0,0
1,26,10,43657.2213,0,0,0
1,27,10,44152.04034,0,0,0
1,28,10,46993.82975,0,0,0
1,29,10,50664.68894,0,0,0
1,30,10,42842.43062,0,0,0
1,31,10,78566.88283,0,0,0
1,32,10,1082287.924,0,0,0
1,33,10,34997.45936,0,0,0
1,34,10,73173.5088,0,0,0
1,35,10,45694.22742,0,0,0
1,36,10,1085532.541,0,0,0
1,37,10,66928.86115,0,0,0
1,38,10,33374.91985,0,0,0
1,39,10,1084500.01,0,0,0
1,40,10,84218.08596,0,0,0
1,41,10,58272.38522,0,0,0
1,42,10,76415.43435,0,0,0
1,43,10,1087810.939,0,0,0
1,44,10,30499.31313,0,0,0
1,45,10,62064.01659,0,0,0
1,46,10,80589.434,0,0,0
1,47,10,53216.30447,0,0,0
1,48,10,17702.56734,0,0,0
1,49,10,34259.79637,0,0,0
1,50,10,38550.60414,0,0,0
1,51,10,85895.00294,0,0,0
1,52,10,1087714.28,0,0,0
1,53,10,42597.18718,0,0,0
1,54,10,70727.28906,0,0,0
1,55,10,61580.22357,0,0,0
1,56,10,1098768.028,0,0,0
1,57,10,1076633.534,0,0,0
1,58,10,53867.54423,0,0,0
1,59,10,51226.81766,0,0,0
