Node ID,x (km),y (km),load (MW),typology
1,0.172413793,-0.862068966,0.38,SS
2,-0.379310345,-0.24137931,0.11,SS
3,-0.448275862,-0.172413793,0.46,SS
4,-0.034482759,-1,0.36,SS
5,-0.448275862,0.310344828,0.36,SS
6,-0.24137931,0.24137931,0.34,SS
7,0.103448276,-0.724137931,0.17,SS
8,-0.310344828,-0.655172414,0.44,SS
9,0.517241379,0.931034483,0.28,SS
10,-0.379310345,-0.034482759,0.23,SS
11,0.724137931,-0.931034483,0.51,SS
12,0.655172414,0.586206897,0.42,SS
13,-0.24137931,-0.793103448,0.18,SS
14,0.310344828,-0.379310345,0.41,SS
15,-0.724137931,0.517241379,0.15,SS
16,-0.655172414,-0.724137931,0.53,SS
17,0.862068966,0.517241379,0.63,SS
18,-0.448275862,0.034482759,0.4,SS
19,-0.862068966,1,0.53,SS
20,0.24137931,-0.586206897,0.11,SS
21,0.655172414,0.034482759,0.4,SS
22,-0.172413793,0.793103448,0.2,SS
23,0.517241379,1,0.38,SS
24,0.034482759,-0.310344828,0.24,SS
25,-0.103448276,0.24137931,0.17,SS
26,-0.379310345,0.448275862,0.46,SS
27,-0.034482759,0.586206897,0.29,SS
28,-0.931034483,0.24137931,0.07,SS
29,0.862068966,0.655172414,0.21,SS
30,-0.379310345,0.379310345,0.34,SS
31,-1.636363636,1,0.19,SS
32,1.181818182,1.636363636,0.91,SS
33,0,-2,0.26,SS
34,0.909090909,1.454545455,0.47,SS
35,1.181818182,0.181818182,0.31,SS
36,1.272727273,1.727272727,0.14,SS
37,-2,-0.545454545,0.14,SS
38,1.090909091,-0.272727273,0.31,SS
39,-0.818181818,1.727272727,0.08,SS
40,-1.363636364,1.454545455,0.55,SS
41,1.818181818,0.090909091,0.31,SS
42,-0.727272727,1.454545455,0.68,SS
43,0.727272727,2,0.71,SS
44,0.909090909,-1.454545455,0.73,SS
45,0.454545455,1.181818182,0.05,SS
46,-1.272727273,1.363636364,0.3,SS
47,-1.545454545,-1.272727273,0.98,SS
48,0.454545455,-1.363636364,0.56,SS
49,1.090909091,-1.363636364,0.91,SS
50,0.909090909,-1.909090909,1.42,SS
51,-1.636363636,1.272727273,0.03,SS
52,-1.090909091,1.727272727,0.56,SS
53,1.454545455,-1.181818182,1.27,SS
54,-0.909090909,1.181818182,1.26,SS
55,2,-0.181818182,0.92,SS
56,-1.818181818,1.727272727,0.43,SS
57,-0.181818182,1.636363636,0.05,SS
58,-1.090909091,-2,1.04,SS
59,-1.454545455,-0.636363636,0.62,SS
60,1.181818182,-1.909090909,0.02,SS
61,-1.181818182,0.272727273,0.96,SS
62,-0.727272727,1.909090909,0.24,SS
63,-0.636363636,1.909090909,0.47,SS
64,-0.090909091,-1.727272727,0.01,SS
65,1,-1.727272727,0.67,SS
66,-1.090909091,0.181818182,0.76,SS
67,1.181818182,0.636363636,0.09,SS
68,-1.090909091,-0.545454545,1.28,SS
69,-0.545454545,-1.363636364,0.55,SS
70,1.454545455,-0.090909091,0.18,SS
71,-0.363636364,1.272727273,0.56,SS
72,-1.545454545,0.272727273,0.12,SS
73,0,-1.727272727,0.11,SS
74,-1.272727273,-0.090909091,0.57,SS
75,-0.818181818,1.454545455,0.43,SS
76,0.093836321,-1,0,PS
77,-0.916111284,1.251666148,0,PS
78,0.167777432,1.251666148,0,PS
