Node ID,x (km),y (km),load (MW),typology
1,-0.033898305,0.983050847,0.38,SS
2,-1.118644068,-0.237288136,0.11,SS
3,-1.186440678,-0.305084746,0.46,SS
4,0.711864407,1.728813559,0.36,SS
5,0.711864407,1.118644068,0.36,SS
6,-0.508474576,1.86440678,0.34,SS
7,-0.915254237,0.440677966,0.17,SS
8,-2,1.322033898,0.44,SS
9,1.254237288,-0.169491525,0.28,SS
10,0.915254237,-0.847457627,0.23,SS
11,-1.593220339,-1.93220339,0.51,SS
12,-1.661016949,-1.661016949,0.42,SS
13,1.457627119,-0.847457627,0.18,SS
14,-0.711864407,-1.186440678,0.41,SS
15,-1.525423729,0.576271186,0.15,SS
16,1.118644068,0.983050847,0.53,SS
17,-1.93220339,-0.711864407,0.63,SS
18,1.93220339,0.915254237,0.4,SS
19,1.661016949,0.508474576,0.53,SS
20,-0.779661017,-0.576271186,0.11,SS
21,0.440677966,-1.186440678,0.4,SS
22,0.440677966,-1.254237288,0.2,SS
23,1.86440678,-1.661016949,0.38,SS
24,-1.796610169,1.118644068,0.24,SS
25,-2,1.93220339,0.17,SS
26,1.186440678,0.915254237,0.46,SS
27,1.593220339,-0.237288136,0.29,SS
28,-1.186440678,0.915254237,0.07,SS
29,0.711864407,-0.169491525,0.21,SS
30,-0.101694915,1.525423729,0.34,SS
31,0.576271186,-1.186440678,0.38,SS
32,-1.86440678,1.86440678,0.22,SS
33,-1.93220339,0.169491525,0.5,SS
34,-1.322033898,-1.050847458,0.39,SS
35,0.440677966,1.322033898,0.4,SS
36,1.457627119,-0.169491525,0.32,SS
37,1.796610169,-1.728813559,0.81,SS
38,-1.186440678,1.322033898,0.43,SS
39,0.847457627,2,0.28,SS
40,-1.389830508,1.118644068,0.59,SS
41,-1.186440678,0.033898305,0.69,SS
42,0.983050847,2,0.4,SS
43,1.389830508,-1.186440678,0.97,SS
44,0.169491525,-1.796610169,0.32,SS
45,0.711864407,1.661016949,0.43,SS
46,0.644067797,0.508474576,0.34,SS
47,0.169491525,1.525423729,0.37,SS
48,-0.305084746,0.169491525,0.56,SS
49,-1.457627119,0.847457627,0.42,SS
50,-0.847457627,-0.237288136,0.79,SS
51,1.661016949,-0.237288136,0.44,SS
52,-1.457627119,1.728813559,0.07,SS
53,-1.457627119,-0.372881356,0.28,SS
54,0.305084746,-1.86440678,0.62,SS
55,0.305084746,0.305084746,0.36,SS
56,-0.915254237,1.728813559,0.02,SS
57,1.389830508,-0.237288136,0.26,SS
58,1.389830508,0.508474576,0.03,SS
59,0.033898305,1.728813559,0.94,SS
60,-1.254237288,2,0.69,SS
61,0.512820513,-3.58974359,0.19,SS
62,-2.769230769,3.58974359,0.91,SS
63,2.769230769,-2.153846154,0.26,SS
64,-2.564102564,-2.769230769,0.47,SS
65,-4,-3.384615385,0.31,SS
66,0.307692308,2.153846154,0.14,SS
67,3.179487179,3.179487179,0.14,SS
68,4,3.384615385,0.31,SS
69,3.794871795,1.743589744,0.08,SS
70,-4,-2.974358974,0.55,SS
71,-2.564102564,0.923076923,0.31,SS
72,-3.794871795,0.923076923,0.68,SS
73,-2.974358974,-3.384615385,0.71,SS
74,-3.179487179,-3.384615385,0.73,SS
75,2.564102564,1.333333333,0.05,SS
76,-3.384615385,3.384615385,0.3,SS
77,-2.564102564,2.564102564,0.98,SS
78,2.358974359,1.333333333,0.56,SS
79,-2.769230769,2.769230769,0.91,SS
80,-3.179487179,-0.307692308,1.42,SS
81,-1.948717949,-2.358974359,0.03,SS
82,-1.743589744,-2.358974359,0.56,SS
83,2.769230769,2.153846154,1.27,SS
84,3.58974359,3.794871795,1.26,SS
85,-2.974358974,-2.974358974,0.92,SS
86,-3.179487179,1.128205128,0.43,SS
87,2.974358974,1.948717949,0.05,SS
88,-3.179487179,2.153846154,1.04,SS
89,-3.58974359,0.307692308,0.62,SS
90,3.179487179,2.153846154,0.02,SS
91,1.333333333,3.58974359,0.96,SS
92,3.179487179,-3.384615385,0.24,SS
93,2.564102564,3.58974359,0.47,SS
94,3.794871795,3.794871795,0.01,SS
95,3.384615385,3.794871795,0.67,SS
96,3.794871795,2.358974359,0.76,SS
97,-4,-3.58974359,0.09,SS
98,-3.179487179,-1.538461538,1.28,SS
99,-3.58974359,1.333333333,0.55,SS
100,-1.743589744,2.564102564,0.18,SS
101,0.167777432,-2,0,PS
102,-2,1.251666148,0,PS
103,-1.832222568,2.503332297,0,PS
104,2.503332297,-4,0,PS
